Date,Open,High,Low,Close,Volume,Range,BPS,PER,PBR,EPS,DIV,DPS
2023-11-01,67500,68900,67300,68600,13775256,2.5411061285500747,50817,8.51,1.35,8057,2.1,1444
2023-11-02,70000,70000,69400,69700,16350031,1.6034985422740524,50817,8.65,1.37,8057,2.07,1444
2023-11-03,69700,70200,69500,69600,10322234,-0.1434720229555237,50817,8.64,1.37,8057,2.07,1444
2023-11-06,69800,70900,69300,70900,22228489,1.8678160919540232,50817,8.8,1.4,8057,2.04,1444
2023-11-07,70600,70900,70000,70900,17228731,0.0,50817,8.8,1.4,8057,2.04,1444
2023-11-08,71300,71400,69700,69900,12901310,-1.4104372355430184,50817,8.68,1.38,8057,2.07,1444
2023-11-09,69900,70800,69600,70300,12301373,0.5722460658082975,50817,8.73,1.38,8057,2.05,1444
2023-11-10,70000,70500,69500,70500,9684347,0.2844950213371266,50817,8.75,1.39,8057,2.05,1444
2023-11-13,71300,71300,70300,70400,9246919,-0.14184397163120568,50817,8.74,1.39,8057,2.05,1444
2023-11-14,71000,71100,70600,70800,9567984,0.5681818181818182,50817,8.79,1.39,8057,2.04,1444
2023-11-15,71600,72200,71500,72200,20148677,1.977401129943503,50817,8.96,1.42,8057,2.0,1444
2023-11-16,72500,73000,72300,72800,15860451,0.8310249307479225,50817,9.04,1.43,8057,1.98,1444
2023-11-17,72300,73000,72300,72500,11494644,-0.4120879120879121,50817,9.0,1.43,8057,1.99,1444
2023-11-20,72100,73000,72100,72700,10610157,0.27586206896551724,50817,9.02,1.43,8057,1.99,1444
2023-11-21,73100,73400,72700,72800,9712881,0.1375515818431912,50817,9.04,1.43,8057,1.98,1444
2023-11-22,72200,73000,71900,72800,11105143,0.0,50817,9.04,1.43,8057,1.98,1444
2023-11-23,73000,73200,72200,72400,6775614,-0.5494505494505495,50817,8.99,1.42,8057,1.99,1444
2023-11-24,72400,72600,71700,71700,6676685,-0.9668508287292817,50817,8.9,1.41,8057,2.01,1444
2023-11-27,71500,72100,71100,71300,9113857,-0.5578800557880056,50817,8.85,1.4,8057,2.03,1444
2023-11-28,71400,72700,71300,72700,13283081,1.9635343618513323,50817,9.02,1.43,8057,1.99,1444
2023-11-29,72400,72800,72200,72700,9283933,0.0,50817,9.02,1.43,8057,1.99,1444
2023-11-30,72700,72800,72200,72800,15783714,0.1375515818431912,50817,9.04,1.43,8057,1.98,1444
2023-12-01,72400,72500,71700,72000,9871284,-1.098901098901099,50817,8.94,1.42,8057,2.01,1444
2023-12-04,72800,72900,72400,72600,10229267,0.8333333333333334,50817,9.01,1.43,8057,1.99,1444
2023-12-05,72300,72400,71200,71200,12129682,-1.9283746556473829,50817,8.84,1.4,8057,2.03,1444
2023-12-06,71800,72100,71600,71700,8123087,0.7022471910112359,50817,8.9,1.41,8057,2.01,1444
2023-12-07,71800,71900,71100,71500,8862017,-0.2789400278940028,50817,8.87,1.41,8057,2.02,1444
2023-12-08,72100,72800,71900,72600,10859463,1.5384615384615385,50817,9.01,1.43,8057,1.99,1444
2023-12-11,72800,73000,72200,73000,9861960,0.5509641873278237,50817,9.06,1.44,8057,1.98,1444
2023-12-12,73300,73500,73100,73500,13758646,0.684931506849315,50817,9.12,1.45,8057,1.96,1444
